Name,ID-LB,ARS,Eligibility Requirements
Entschädigung nach dem Infektionsschutzgesetz für Verdienstausfälle sorgeberechtigter Personen beantragen,L100039.LB.230305153,['070000000000'],"Eltern haben Anspruch auf Entschädigung ihres Verdienstausfalls wegen Kinderbetreuung, wenn 

Sie Ihr Kind/ Ihre Kinder aufgrund der Schließung einer Betreuungseinrichtung oder Schule durch Behörden selbst betreuen 
Und Ihr Kind jünger als 12 Jahre alt ist oder eine Behinderung hat und auf Hilfe angewiesen ist
Und Sie einen Verdienstausfall haben
Und Sie für dieses Kind sorgeberechtigt sind
Und Sie keine anderweitige zumutbare Betreuungsmöglichkeit haben."
"Bildungspaket - Kostenerstattung für Kultur, Musik und Sport",S100002.LB.S1000020010000006117,['020000000000'],"Anspruch haben Kinder unter 18 Jahren, die oder deren Erziehungsberechtigte eine der folgenden Leistungen erhalten:

SGB II (Arbeitslosengeld II / Hartz IV / Sozialgeld)
SGB XII (Grundsicherung / Sozialhilfe)
§§ 2 oder 3 Asylbewerberleistungsgesetz
Wohngeld
Kinderzuschlag"
Hilfe zum Lebensunterhalt nach SGB XII beantragen,L100009.LB.6000199,['140000000000'],"Betroffene haben Anspruch auf Hilfe zum Lebensunterhalt im Rahmen der Sozialhilfe wenn sie

ihren gewöhnlichen Aufenthaltsort in Deutschland haben und
wenn sie ihren Lebensunterhalt nicht oder nicht vollständig aus eigenen Kräften bestreiten können – insbesondere aus eigenem Einkommen und Vermögen oder mit Hilfe anderer (zum Beispiel der Verwandten)."
Sozialhilfe; Beantragung von Grundsicherung im Alter und bei Erwerbsminderung,L100042.LB.26261,['090000000000'],"Leistungsberechtigt sind Menschen mit gewöhnlichem Aufenthalt in Deutschland unter folgenden Voraussetzungen:
Erreichen der Altersgrenze der Regelaltersrente
oder
	dauerhaft volle Erwerbsminderung ab dem 18. Geburtstag, unabhängig von der jeweiligen Arbeitsmarktlage. Es ist nicht notwendig, dass bereits eine Erwerbsminderungsrente bezogen wird, die dauerhaft volle Erwerbsminderung kann auch von der Rentenversicherung im Auftrag des Sozialhilfeträgers festgestellt werden.
	Menschen mit Behinderungen gelten generell als voll erwerbsgemindert, solange sie das Eingangsverfahren oder den Berufsbildungsbereich einer Werkstatt für behinderte Menschen durchlaufen bzw. dort im Arbeitsbereich beschäftigt sind. 
undes ist keine Deckung des Lebensunterhalts aus eigenem Einkommen und Vermögen möglich. Auch das Einkommen und Vermögen des nicht getrenntlebenden Ehe- oder Lebenspartners wird angerechnet, wenn es dessen Eigenbedarf übersteigt,
undes gibt keine unterhaltspflichtigen Angehörigen mit einem jährlich zu versteuernden Gesamteinkommen über 100.000 EUR (sog. Unterhaltsregress). Bei einer Unterhaltspflicht von Eltern gegenüber ihrem Kind wird deren gemeinsames Einkommen betrachtet, bei Kindern gegenüber ihren Eltern gilt diese Einkommensgrenze für jedes einzelne Kind.
Nicht leistungsberechtigt sind Personen, die ihre Bedürftigkeit in den letzten 10 Jahren vorsätzlich oder grob fahrlässig herbeigeführt haben."
Bildungspaket - Kostenerstattung für Ausflüge und Reisen mit Schulen und Kitas (Bezieher von Leistungen bei den Grundsicherungsstellen),S100002.LB.S1000020010000006164,['020000000000'],"Anspruch haben Kinder, die oder deren Eltern Bezieher von Leistungen nach dem Sozialgesetzbuch XII (Sozialhilfe, Grundsicherung) und 
eine Kindertageseinrichtung oder einen Hort besuchen bzw. bei Tageseltern versorgt werden oder
eine allgemein- oder berufsbildende Schule besuchen und
keine Ausbildungsvergütung erhalten"
"Nachweise für Leistungen aus der Förderung von bedürftigen Kindern, Jugendlichen und jungen Erwachsenen zur Teilnahme an Bildungsangeboten sowie kulturellen und sozialen Angeboten erbringen, wenn die antragstellende Person ALG II bezieht",L100002.LB.9dee502baf807ac5dc05013426fca916,['050000000000'],"Antragsberechtigt sind Kinder und Jugendliche bis 25 Jahren,        die ihre Bildungs- und Teilhabebedarfe nicht aus eigenem Einkommen und Vermögen oder eigenem Einkommen und Vermögen der Familie decken können und die deshalb einen Anspruch haben auf       Leistungen der Grundsicherung für Arbeitsuchende oder  Sozialhilfe Leistungen nach dem Asylbewerberleistungsgesetz        oder deren Familien folgende Leistungen beziehen:      Kinderzuschlag oder Wohngeld     Altersobergrenze für Leistungen zum Mitmachen in Kultur, Sport und Freizeit: 18 Jahre"
Entschädigung nach dem Infektionsschutzgesetz Gewährung für Ersatz nicht gedeckter Betriebsausgaben,L100038.LB.211556329,['160000000000'],"Bei Quarantäne oder Tätigkeitsverbot haben Sie Anspruch auf Entschädigung der weiterlaufenden nicht gedeckten Betriebsausgaben, wenn

Sie selbstständig sind
Ihr Betrieb oder Ihre Praxis während des Tätigkeitsverbots oder der Quarantäne ruht und 
Sie Anspruch auf Entschädigung Ihres Verdienstausfalls haben."
Bildungspaket für bedürftige Kinder,L100039.LB.197890888,['070000000000'],nicht angegeben
Blindenhilfe/Aufstockungsleistung,L100001.LB.9702694,['060000000000'],nicht angegeben
Bildungspaket - Kostenerstattung für Reisen mit Schulen und Kitas (Bezieher von Bürgergeld),S100002.LB.S1000020010000006194,['020000000000'],"- Anspruch haben Kinder unter 25 Jahren, die oder deren Eltern Bezieher von Bürgergeld und Sozialgeld sind und
   - eine Kindertageseinrichtung oder einen Hort besuchen bzw. bei Tageseltern versorgt werden oder
   - eine allgemein- oder berufsbildende Schule besuchen und
   - keine Ausbildungsvergütung erhalten"
Kostenübernahme bei Teilnahme an einer Arbeitserprobung oder Abklärung der beruflichen Eignung bekommen,B100019.LB.102730344,['000000000000'],"Sie haben eine Behinderung und Ihr zuständiger Rehabilitationsträger ist die Bundesagentur für Arbeit. Damit Sie die oben beschriebenen Leistungen bei Arbeitserprobung/Abklärung der beruflichen Eignung erhalten können, müssen Sie mit Ihrer Beraterin/Ihrem Berater die Teilnahme an einer durch die Agentur für Arbeit geförderten Diagnosemaßnahme vereinbart haben."
Grundsicherung im Alter und bei Erwerbsminderung (Sozialhilfe),L100040.LB.8664880,['030000000000'],"Die antragsabhängigen Leistungen der Grundsicherung im Alter und bei Erwerbsminderung stehen bedürftigen Personen zu, die ihren notwendigen Lebensunterhalt nicht oder nicht ausreichend aus Einkommen und Vermögen bestreiten können und entweder

die Altersgrenze (§ 41 SGB XII) erreicht haben oder
das 18. Lebensjahr vollendet haben und dauerhaft voll erwerbsgemindert nach § 43 Abs. 2 SGB VI sind oder
das 18. Lebensjahr vollendet haben und
in einer Werkstatt für behinderte Menschen oder anderer Leistungsträger das Eingangsverfahren und den Berufsbildungsbereich durchlaufen oder in einem Ausbildungsverhältnis stehen, für das sie ein Budget für Ausbildung erhalten.

Sozialhilfe ist eine nachrangige Leistung, die Personen erhalten, die sich nicht selbst helfen können. Ansprüche gegen Dritte – insbesondere Unterhaltsansprüche – sind grundsätzlich vorrangig zu verfolgen. Werden sie nicht rechtzeitig erfüllt und muss deswegen die Sozialhilfe eintreten, gehen die Ansprüche unter bestimmten Voraussetzungen auf die zuständige Stelle über, welche sie dann ihrerseits geltend machen kann."
Entschädigung nach dem Infektionsschutzgesetz für nicht gedeckter Betriebsausgaben beantragen,L100039.LB.230305154,['070000000000'],"Bei Quarantäne oder Tätigkeitsverbot haben Sie Anspruch auf Entschädigung der weiterlaufenden nicht gedeckten Betriebsausgaben, wenn

Sie selbstständig sind
Ihr Betrieb oder Ihre Praxis während des Tätigkeitsverbots oder der Quarantäne ruht und 
Sie Anspruch auf Entschädigung Ihres Verdienstausfalls haben."
Entschädigung nach dem Infektionsschutzgesetz Gewährung für Verdienstausfallentschädigung sorgeberechtigter Personen,L100041.LB.108364144,['120000000000'],"Sie unterliegen einem Tätigkeitsverbot oder
befinden sich in Quarantäne.
Sie haben einen Verdienstausfall und
Sie sind nicht arbeitsunfähig."
Erstaufnahmeeinrichtungen und Notunterkünfte,L100008.LB.183718,['150000000000'],nicht angegeben
Hilfe in sonstigen Lebenslagen,L100002.LB.e9c5be2ac6f0d48d792a7adf8d6cc89c,['050000000000'],nicht angegeben
Unterhaltssicherung für Wehrpflichtige Gewährung von Einzelleistungen,L100002.LB.8d30e6c1172675b4e5b236e9a04a6f5c,['050000000000'],nicht angegeben
Kinderzuschlag beantragen,B100019.LB.581863,['000000000000'],"Um einen Kinderzuschlag zu bekommen, müssen folgende Voraussetzungen erfüllt sein:  Ihr Kind/Ihre Kinder ist/sind jünger als 25 Jahre, nicht verheiratet oder verpartnert und lebt/leben in Ihrem Haushalt. Sie beziehen für Ihr Kind/Ihre Kinder Kindergeld oder eine vergleichbare Leistung zum Beispiel aus dem Ausland. Sie verfügen  als Paar gemeinsam über ein Bruttoeinkommen von mindestens 900,00 EUR im Monat (ohne Wohngeld, Kindergeld und Kinderzuschlag) oder als alleinerziehende Person über mindestens 600,00 EUR im Monat.   Ihr Einkommen, das auf den Kinderzuschlag angerechnet wird, ist nicht so hoch, dass sich der Kinderzuschlag auf null reduziert. Sie verfügen über kein erhebliches Vermögen. Den Kinderzuschlag können Sie in der Regel erhalten, wenn Sie mit Ihrem Einkommen, dem Kindergeld, dem eventuell zustehendem Wohngeld und dem Kinderzuschlag den Bedarf der ganzen Familie im Sinne des SGB II decken können. Kinderzuschlag ist nachrangig gegenüber anderen möglichen Einkünften des Kindes; gegebenenfalls besteht die Verpflichtung, sich um vorrangige Ansprüche wie Unterhalt oder Unterhaltsvorschuss zu bemühen."
Bildungspaket - Kostenerstattung für Lernförderung,S100002.LB.S1000020010000006116,['020000000000'],"Anspruch haben Schüler unter 25 Jahren ohne Ausbildungsvergütung, die eine allgemeinbildende oder eine berufsbildende Schule besuchen. Die Altersgrenze von 25 Jahren entfällt für Leistungsberechtigte nach dem SGB XII und dem AsylbLG."
Entschädigung nach dem Infektionsschutzgesetz Gewährung für Ersatz nicht gedeckter Betriebsausgaben,L100041.LB.108406802,['120000000000'],"Sie sind selbstständig.


Ihr Betrieb oder Ihre Praxis ruht während des Tätigkeitsverbots oder der Quarantäne und 
Sie haben Anspruch auf Entschädigung Ihres Verdienstausfalls."
Grundsicherung im Alter und bei Erwerbsminderung beantragen,L100022.LB.677,['080000000000'],"Ihr Einkommen oder das Ihres Ehe- oder Lebenspartners beziehungsweise Ihrer Ehe- oder Lebenspartnerin liegt unter dem gesetzlichen Grundsicherungsbedarf
Kein verwertbares einzusetzendes Vermögen

Bestimmte Vermögenswerte gelten als Schonvermögen, das nicht einzusetzen ist. Dazu zählt zum Beispiel ein angemessenes Hausgrundstück, das Sie selbst bewohnen. Geldvermögen, das die Vermögensfreigrenze nicht übersteigt (Alleinstehende 10.000 €, Ehe- bzw. Lebenspartner 20.000 €) muss nicht eingesetzt werden"
Ermäßigtes Nahverkehrsticket / StadtTicket Bremen,S100003.LB.S1000030000009797,['040110000000'],"Berechtigt für den Erwerb eines ermäßigten Nahverkehrsticket sind Personen, die

Grundsicherung für Arbeitssuchende (SGB II)
Sozialhilfe (3. Kapitel SGB XII - Hilfe zum Lebensunterhalt sowie 4. Kapitel SGB XII - Grundsicherung im Alter oder bei Erwerbsminderung) 
Leistungen nach dem Asylbewerberleistungsgesetz erhalten, oder
Leistungen nach § 6b BKGG - Bildung und Teilhabe für Empfänger/öinnen von Kinderzuschlag"
Frauen- und Kinderschutzhaus - Unterbringung in Anspruch nehmen,L100022.LB.611,['080000000000'],"Ihnen und Ihren Kindern droht zuhause Gewalt.
Die meisten Frauen- und Kinderschutzhäuser nehmen keine Frauen auf, die

unter 18 Jahre sind,
Söhne über 14 Jahre haben,
obdachlos sind oder
schwerwiegende Suchtprobleme haben.

Hinweis: Bei den Aufnahmevoraussetzungen bestehen Unterschiede zwischen den verschiedenen Frauenhäusern."
Hilfe zum Lebensunterhalt (Sozialhilfe) beantragen,L100002.LB.fa5c1001b93f8d8e12419b5d266e458d,['050000000000'],"Sie sind hilfebedürftig und:    befristet voll erwerbsgemindert oder beziehen eine Altersrente, haben die Altersgrenze für die Regelaltersrente aber noch nicht erreicht.    Hilfebedürftig sind Sie, wenn Sie Ihren Lebensunterhalt nicht aus eigenen Mitteln und Kräften vollständig decken können. Zeitlich befristet voll erwerbsgemindert sind Sie, wenn Sie auf absehbare Zeit (mehr als 6 Monate) nicht in der Lage sind, unter den üblichen Bedingungen des allgemeinen Arbeitsmarktes regelmäßig mindestens 3 Stunden täglich zu arbeiten.    Sie erhalten keine:    Grundsicherung für Arbeitsuchende, Grundsicherung im Alter und bei Erwerbsminderung oder Grundleistungen für Asylsuchende."
Kinder- und Jugendschutz,L100040.LB.8665027,['030000000000'],nicht angegeben
Frauenhäuser,L100001.LB.8964796,['060000000000'],nicht angegeben
Leistungen aus dem Assistenzleistungsfonds beantragen,L100040.LB.479231311,['030000000000'],"Sie sind in wirtschaftlichen, kulturellen, sozialen, sportlichen oder politischen Bereichen in einem eingetragenen Verein oder in einem Verein mit regionalen Untergliederungen engagiert, dessen nächsthöhere Ebene ein eingetragener Verein ist
oder
in politischen Gremien (Rat, Kreistag, Landtag) tätig
oder
in Gremien, die aufgrund bundes- oder landesrechtlicher Regelungen einberufen werden (z.B. Arbeitsgemeinschaft nach § 94 Abs. 4 SGB IX, Schiedsstelle nach § 133 SGB IX) unentgeltlich oder nur gegen Aufwandsentschädigung i. S. des EStG ehrenamtlich aktiv
Sie haben Ihren gewöhnlichen Aufenthalt in Niedersachsen. 
Bei Ihnen wurde durch einen Feststellungsbescheid nach § 152 Neuntes Buch Sozialgesetzbuch (SGB IX) das Merkzeichen B (Berechtigung zur ständigen Begleitung), das Merkzeichen Bl (Blind) oder das Merkzeichen H (Hilflos i. S. des § 33b EStG oder entsprechender Vorschriften) festgestellt
oder
Sie sind die auf die Inanspruchnahme von Kommunikationshilfen wie z. B. Gebärdensprach-, Schrift- oder Lormendolmetscherinnen oder -dolmetschern oder den Einsatz von Übertragungsanlagen (z. B. Induktions- oder FM-Anlagen) angewiesen und bei Ihnen ist das Merkzeichen Gl (Gehörlosigkeit) oder das Merkzeichen TBl (Taubblindheit) festgestellt worden oder es liegt bei Ihnen allein wegen einer Störung der Hörfunktion mindestens ein Grad der Behinderung von 70 vor."
Sozialticket,L100039.LB.199712466,['070000000000'],nicht angegeben
Hilfe zum Lebensunterhalt,L100002.LB.faa63250288b90b8271abf853e65f15a,['050000000000'],"Sie sind hilfebedürftig und befristet voll erwerbsgemindert oder beziehen eine Altersrente, haben die Altersgrenze für die Regelaltersrente aber noch nicht erreicht. Hilfebedürftig sind Sie, wenn Sie Ihren Lebensunterhalt nicht aus eigenen Mitteln und Kräften vollständig decken können. Sie erhalten kein/e Bürgergeld, Grundsicherung im Alter und bei Erwerbsminderung oder Grundleistungen für Asylsuchende."
Insolvenzgeld beantragen,B100019.LB.576848,['000000000000'],"Damit Sie Insolvenzgeld bekommen können, müssen bestimmte Voraussetzungen erfüllt sein:   Es liegt ein Insolvenzereignis vor, wenn   Eröffnung eines Insolvenzverfahrens über das Vermögen Ihres Arbeitgebers oder Insolvenzantrag wird mangels Masse abgewiesen oder Betriebstätigkeit wird bei offensichtlicher Masselosigkeit vollständig eingestellt.   Vor dem Insolvenzereignis wurde Ihnen bis zu 3 Monate lang kein Arbeitsentgelt gezahlt. Als Arbeitnehmerin oder Arbeitnehmer sind Sie  innerhalb Deutschlands beschäftigt oder vorübergehend ins Ausland unter Beibehaltung der Sozialversicherungspflicht in Deutschland entsandt worden.    Sie müssen durch Bescheid der Clearingstelle der Deutschen Rentenversicherung (Statusfeststellungsverfahren) nachweisen, dass Sie rechtlich als Arbeitnehmerin oder Arbeitnehmer gelten, wenn Sie beispielsweise  geschäftsführender Gesellschafter,  Gesellschafterin oder Gesellschafter einer GmbH oder Angehörige beziehungsweise Angehöriger des Arbeitgebers sind.    Weitere Informationen finden Sie auf der Internetseite der Bundesagentur für Arbeit."
Bildungspaket - Kostenerstattung für Schulbedarf für Schüler (Bezieher von Bürgergeld über 25),S100002.LB.S1000020010000006166,['020000000000'],"Kinder unter 25 Jahren (oder deren Eltern), die Leistungen nach dem SGB II (Bürgergeld / Sozialgeld) erhalten
Besuch einer allgemein- oder berufsbildenden Schule, auch Vorschule
kein Erhalt einer Ausbildungsvergütung"
"Förderung zur Teilnahme an kulturellen, sozialen und bildenden Angeboten für Kinder, Jugendliche und junge Erwachsene bei Bezug von Kinderzuschlag",S100002.LB.S1000020010000012909,['020000000000'],nicht angegeben
Sozialhilfe beantragen,L100002.LB.59f91ce141a0ba9a1788add9bd324e2f,['050000000000'],"Sie  haben Ihren gewöhnlichen Aufenthalt  in Deutschland    Ihr Einkommen und Vermögen reichen nicht   aus,   um Ihren   Lebensunterhalt selbst bestreiten zu können.      Sie haben die   Altersgrenze   (  66   –   67 Jahre)   erreicht oder   sind über 18 Jahre alt und dauerhaft voll   erwerbsgemindert  ,     oder   durchlaufen in einer Werkstatt für   behinderte Men  schen oder bei einem anderen Leistungsanbieter das Ein  gangsverfahren und den Berufsbildungsbereich  ."
Grundsicherung im Alter und bei Erwerbsminderung beantragen,L100009.LB.6000339,['140000000000'],"Ein Anspruch auf Leistungen zur Grundsicherung besteht, wenn

die oder der Betroffene den gewöhnlichen Aufenthalt in der Bundesrepublik Deutschland hat und
die Altersgrenze erreicht hat (je nach Einzelfall 65 Jahre und älter) oder
nach Vollendung des 18. Lebensjahres dauerhaft voll erwerbsgemindert ist oder
nach Vollendung des 18. Lebensjahres 
  
in einer Werkstatt für behinderte Menschen oder bei einem anderen Leistungsanbieter den Eingangs- und Berufsbildungsbereich durchläuft oder
in einem Ausbildungsverhältnis steht, für das er ein Budget für Arbeit erhält.


Bedürftigkeit
Die Betroffenen müssen bedürftig sein, das heißt ihr Einkommen und Vermögen (beziehungsweise das ihres Ehegatten/Lebensgefährten) reicht nicht aus, um den notwendigen Lebensunterhalt sicherzustellen.
Haben die Hilfebedürftigen unterhaltspflichtige Eltern oder Kinder, darf deren jährliches Einkommen EUR 100.000 nicht übersteigen."
Grundsicherung im Alter und bei Erwerbsminderung (Sozialhilfe),L100008.LB.191435,['150000000000'],nicht angegeben
StadtTicket Bremen für Wohngeldempfänger:innen,S100003.LB.S1000030002100367,['040110000000'],Keine Angabe
Hilfe zum Lebensunterhalt beantragen,L100022.LB.951,['080000000000'],"Sie sind bedürftig und voll erwerbsgemindert

Hilfebedürftig sind Sie, wenn Sie Ihren Lebensunterhalt beziehungsweise den Unterhalt der mit Ihnen in Einsatzgemeinschaft lebenden Personen nicht aus eigenen Mitteln und Kräften vollständig decken können.
   Voll erwerbsgemindert sind Sie, wenn Sie auf absehbare Zeit (länger als sechs Monate) nicht in der Lage sind, unter den üblichen Bedingungen des allgemeinen Arbeitsmarktes mindestens drei Stunden täglich zu arbeiten. Dies sind zum Beispiel Bezieher oder Bezieherinnen einer Rente wegen voller Erwerbsminderung auf Zeit oder längerfristig Erkrankte."
Bestattungskosten (Hilfe in anderen Lebenslagen),L100002.LB.8318dfedaee5fa4f41672d77dba1c56e,['050000000000'],"Die Kosten für eine Bestattung können ganz oder anteilig übernommen werden, wenna) die Kosten der Bestattung unter sozialhilferechtlichen Aspekten angemessen sind, b) kein (ausreichender) Nachlass des Verstorbenen vorhanden ist, c) Sie zu der Übernahme der Bestattungskosten verpflichtet, jedoch nicht in der Lage sind, die Kosten aus eigenen Mitteln zu tragen."
